BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1N--2CDb,3D,10-12HcP; 5-4-2-2
1N--2CDb,3H,10-12HcP; 6+!H
1N--2CDb,3S,10-12HcP; 6+!S
1N--2C--,2D,8-9HcP; 5+!H
1N--2C--,2H,8-9HcP; 5+!S
1N--2C--,2N,Please read chat#10-12HcP; 5!S. *5!S+4!C  *5!S+4!D  *5332
1N--2C--2N--,3C,ASK distrib
1N--2C--2N--3C--,3D,5!S+4!C  or  5!S+4!D
1N--2C--2N--3C--3D--,3H,ASK distrib
1N--2C--2N--3C--3D--3H--,3N,5-2-4-2
1N--2C--2N--3C--3D--3H--,3S,5-2-2-4
1N--2C--2N--3C--3D--,3N,Signoff
1N--2C--2N--3C--,3H,5332 dist
1N--2C--2N--3C--3H--,3N,Signoff
1N--2C--2N--3C--3H--,3S,2 where?
1N--2C--2N--3C--3H--3S--,3N,5-3-3-2
1N--2C--2N--3C--3H--3S--,4C,5-3-2-3
1N--2C--2N--3C--3H--3S--,4D,5-2-3-3
1N--2C--2N--,3N,Signoff
1N--2C--,2S,Please read chat#10-12HcP; 5!H. *5!H+4!C  *5!H+4!D  *5332
1N--2C--2S--,2N,ASK distrib
1N--2C--2S--2N--,3C,5!H+4!C  or  5!H+4!D
1N--2C--2S--2N--3C--,3D,ASK distrib
1N--2C--2S--2N--3C--3D--,3H,2-5-2-4
1N--2C--2S--2N--3C--3D--,3S,2-5-4-2
1N--2C--2S--2N--,3D,5332 dist
1N--2C--2S--2N--3D--,3H,2 where?
1N--2C--2S--2N--3D--3H--,3N,3-5-2-3
1N--2C--2S--2N--3D--3H--,3S,3-5-3-2
1N--2C--2S--2N--3D--3H--,4C,2-5-3-3
1N--2C--2S--,3N,Signoff
1N--2C--,3C,10-12HcP; 4-5-2-2
1N--2C--,3D,10-12HcP; 5-4-2-2
1N--2C--,3H,10-12HcP; 6+!H
1N--2C--,3S,10-12HcP; 6+!S
1N--,2D,ASK MAJOR; unlimited
1N--,2H,7-12HcP; 5+!H
1N--,2N,12-14HcP; minors
1N--,2S,7-12HcP; 5+!S
1N--,3C,7-12HcP; 6+!C
1N--,3D,ASK MAJOR; unlimited
1N--,3H,7-12HcP; 6+!H
1N--,3S,7-12HcP; 6+!S
1N--,4D,ASK MAJOR; unlimited
1S1N,2C,5+!C
1S1N,2D,5+!D
1S1N,2H,5+!H
1S1N,2N,GF; ANY
1S1N2N--,3C,minimum; 5!C
1S1N2N--,3D,minimum; 5!D
1S1N2N--,3H,minimum; 4!S + 3!H
1S1N2N--,3N,MAXIMUM; 3!S + 2!H
1S1N2N--,3S,minimum; 4!S + 2!H
1S1N2N--,4C,MAXIMUM; 4!S + 2!H
1S1N2N--,4D,MAXIMUM; 4!S + 3!H
1S1N,2S,Preempt
1S1N,Db,Penalty; 12+HcP
1S2C,2D,5+!D
1S2C,2H,5+!H
1S2C,2N,Limit
1S2C,2S,5+!S
1S2C,3C,GF; ANY
1S2C,3D,5+!D; GF
1S2C,3H,5+!H; GF
1S2C,3N,Signoff
1S2C,3S,Preempt
1S2C,4S,Signoff
1S2C,Db,13+HcP; ANY
1S2C,--,Weak or trap
1S2D,2H,5+!H
1S2D,2N,Limit
1S2D,2S,5+!S
1S2D,3C,5+!C
1S2D,3D,GF; ANY
1S2D,3H,5+!H; GF
1S2D,3N,Signoff
1S2D,3S,Preempt
1S2D,4S,Signoff
1S2D,Db,13+HcP; ANY
1S2D,--,Weak or trap
1S2H,2N,Limit
1S2H,2S,5+!S
1S2H,3C,5+!C
1S2H,3D,5+!D
1S2H,3H,GF; ANY
1S2H,3N,Signoff
1S2H,3S,Preempt
1S2H,4S,Signoff
1S2H,Db,13+HcP; ANY
1S2H,--,Weak or trap
1S2S,2N,Limit
1S2S,3C,5+!C
1S2S,3D,5+!D
1S2S,3H,5+!H
1S2S,3N,Signoff
1S2S,3S,Preempt
1S2S,4S,Signoff
1S2S,Db,13+HcP; ANY
1S2S,--,Weak or trap
,1S,Please read chat#8-12HcP; (3)4!S; 2-3!H. !S>!H. MAJORs: 4-3 or 3-2. No shortage
1SDb,1N,8-13HcP; bal; 0-3!S
1SDb,2C,13+HcP; ANY
1SDb2C--,2D,8-9HcP; 4!D or 3-2-3-5
1SDb2C--2D--,2H,ASK distrib
1SDb2C--2D--2H--,2N,3!S + 4!D
1SDb2C--2D--2H--2N--,3C,ASK distrib
1SDb2C--2D--2H--2N--3C--,3D,3-2-4-4
1SDb2C--2D--2H--2N--3C--,3H,3-3-4-3
1SDb2C--2D--2H--,2S,4!S + 4-5!D
1SDb2C--2D--2H--2S--,2N,ASK distrib
1SDb2C--2D--2H--2S--2N--,3C,4-2-4-3
1SDb2C--2D--2H--2S--2N--,3D,4-3-4-2
1SDb2C--2D--2H--2S--2N--,3H,4-2-5-2
1SDb2C--2D--2H--,3C,3-2-3-5
1SDb2C--2D--2H--,3D,3!S + 5!D
1SDb2C--2D--2H--3D--,3H,ASK distrib
1SDb2C--2D--2H--3D--3H--,3N,3-3-5-2
1SDb2C--2D--2H--3D--3H--,3S,3-2-5-3
1SDb2C--2D--,2N,Signoff
1SDb2C--2D--,3N,Signoff
1SDb2C--,2H,8-9HcP; 3!H + 2-3!D
1SDb2C--2H--,2N,Signoff
1SDb2C--2H--,2S,Signoff
1SDb2C--2H--,3C,ASK distrib
1SDb2C--2H--3C--,3D,3-3-2-5
1SDb2C--2H--3C--,3H,3-3-3-4
1SDb2C--2H--3C--,3N,4-3-3-3
1SDb2C--2H--3C--,3S,4-3-2-4
1SDb2C--2H--,3N,Signoff
1SDb2C--,2N,10-12HcP; 3!S or 4-3-3-3
1SDb2C--2N--,3C,ASK distrib
1SDb2C--2N--3C--,3D,5!D
1SDb2C--2N--3C--,3H,5!C
1SDb2C--2N--3C--,3N,4-3-3-3
1SDb2C--2N--3C--,3S,3-2-4-4
1SDb2C--2N--,3N,Signoff
1SDb2C--,2S,8-9HcP; 4!S; 4-2-3-4; 4-2-2-5
1SDb2C--2S--,2N,Signoff
1SDb2C--2S--,3C,Signoff
1SDb2C--2S--,3D,ASK distrib
1SDb2C--2S--3D--,3H,4-2-3-4
1SDb2C--2S--3D--,3S,4-2-2-5
1SDb2C--2S--,3N,Signoff
1SDb2C--,3C,10-12HcP; 4!S + 4!C
1SDb2C--3C--,3D,ASK distrib
1SDb2C--3C--3D--,3H,4-2-3-4
1SDb2C--3C--3D--,3S,4-3-2-4
1SDb2C--3C--,3N,Signoff
1SDb2C--3C--,3S,Signoff
1SDb2C--3C--,4S,Signoff
1SDb2C--,3D,10-12HcP; 4!S + 4!D
1SDb2C--3D--,3H,ASK distrib
1SDb2C--3D--3H--,3N,4-3-4-2
1SDb2C--3D--3H--,3S,4-2-4-3
1SDb2C--3D--,3N,Signoff
1SDb2C--3D--,3S,Signoff
1SDb2C--3D--,4S,Signoff
1SDb2C--,3H,10-12HcP; 4-2-2-5
1SDb2C--,3S,10-12HcP; 4-2-5-2
1SDb,2D,7-13HcP; 5+!D; 0-3!S
1SDb,2H,7-13HcP; 5+!H; 0-3!S
1SDb,2N,4!S; 0-1!H; GF
1SDb,2S,7-13HcP; 4+!S
1SDb,3C,4!S; 0-1!C; GF
1SDb,3D,4!S; 0-1!D; GF
1SDb,3H,7-12HcP; 6+!H
1SDb,3S,7-12HcP; 5+!S
1SDb,--,To play
1SDb,Rd,SOS takeout
1S--,1N,8-13HcP; bal; 0-3!S
1S--2C2D,2H,MAXIMUM; 4!S
1S--2C2D,2N,Please read chat#10-12HcP; 3!S or 4-3-3-3; incl. stop opps
1S--2C2D2N--,3C,ASK distrib
1S--2C2D2N--3C--,3D,5!D
1S--2C2D2N--3C--,3H,5!C
1S--2C2D2N--3C--,3N,4-3-3-3
1S--2C2D2N--3C--,3S,3-2-4-4
1S--2C2D2N--,3N,Signoff
1S--2C2D,2S,10-12HcP; 3!S or 4-3-3-3. No stop opps.
1S--2C2D2S--,3C,ASK distrib
1S--2C2D2S--3C--,3D,5!D
1S--2C2D2S--3C--,3H,5!C
1S--2C2D2S--3C--,3N,4-3-3-3
1S--2C2D2S--3C--,3S,3-2-4-4
1S--2C2D2S--,3N,Signoff
1S--2C2D,3C,10-12HcP; 4!S + 4!C
1S--2C2D3C--,3D,ASK distrib
1S--2C2D3C--3D--,3H,4-2-3-4
1S--2C2D3C--3D--,3S,4-3-2-4
1S--2C2D3C--,3N,Signoff
1S--2C2D3C--,3S,Signoff
1S--2C2D3C--,4S,Signoff
1S--2C2D,3D,10-12HcP; 4!S + 4!D
1S--2C2D3D--,3H,ASK distrib
1S--2C2D3D--3H--,3N,4-3-4-2
1S--2C2D3D--3H--,3S,4-2-4-3
1S--2C2D3D--,3N,Signoff
1S--2C2D3D--,3S,Signoff
1S--2C2D3D--,4S,Signoff
1S--2C2D,3H,10-12HcP; 4-2-2-5
1S--2C2D,3S,10-12HcP; 4-2-5-2
1S--2C2D,Db,MAXIMUM; 3!S
1S--2C2D,--,minimum
1S--2C2D----,2H,5+!H; GF
1S--2C2D----,2N,Balanced; Stop opps. OK
1S--2C2D----,2S,5+!S; GF
1S--2C2D----,3C,5+!C; GF
1S--2C2D----,Db,Stop opps. OK
1S--2C2H,2N,Please read chat#10-12HcP; 3!S or 4-3-3-3; incl. stop opps
1S--2C2H2N--,3C,ASK distrib
1S--2C2H2N--3C--,3D,5!D
1S--2C2H2N--3C--,3H,5!C
1S--2C2H2N--3C--,3N,4-3-3-3
1S--2C2H2N--3C--,3S,3-2-4-4
1S--2C2H2N--,3N,Signoff
1S--2C2H,2S,MAXIMUM; 4!S
1S--2C2H,3C,10-12HcP; 4!S + 4!C
1S--2C2H3C--,3D,ASK distrib
1S--2C2H3C--3D--,3H,4-2-3-4
1S--2C2H3C--3D--,3S,4-3-2-4
1S--2C2H3C--,3N,Signoff
1S--2C2H3C--,3S,Signoff
1S--2C2H3C--,4S,Signoff
1S--2C2H,3D,10-12HcP; 4!S + 4!D
1S--2C2H3D--,3H,ASK distrib
1S--2C2H3D--3H--,3N,4-3-4-2
1S--2C2H3D--3H--,3S,4-2-4-3
1S--2C2H3D--,3N,Signoff
1S--2C2H3D--,3S,Signoff
1S--2C2H3D--,4S,Signoff
1S--2C2H,3H,10-12HcP; 4-2-2-5
1S--2C2H,3S,10-12HcP; 4-2-5-2
1S--2C2H,Db,MAXIMUM; 3!S
1S--2C2H,--,minimum
1S--2C2H----,2H,5+!H; GF
1S--2C2H----,2N,Balanced; Stop opps. OK
1S--2C2H----,2S,5+!S; GF
1S--2C2H----,3C,5+!C; GF
1S--2C2H----,3D,5+!D; GF
1S--2C2H----,Db,Stop opps. OK
1S--2C2N,3C,10-12HcP; 4!S + 4!C
1S--2C2N3C--,3D,ASK distrib
1S--2C2N3C--3D--,3H,4-2-3-4
1S--2C2N3C--3D--,3S,4-3-2-4
1S--2C2N3C--,3N,Signoff
1S--2C2N3C--,3S,Signoff
1S--2C2N3C--,4S,Signoff
1S--2C2N,3D,10-12HcP; 4!S + 4!D
1S--2C2N3D--,3H,ASK distrib
1S--2C2N3D--3H--,3N,4-3-4-2
1S--2C2N3D--3H--,3S,4-2-4-3
1S--2C2N3D--,3N,Signoff
1S--2C2N3D--,3S,Signoff
1S--2C2N3D--,4S,Signoff
1S--2C2N,3H,10-12HcP; 4-2-2-5
1S--2C2N,3S,10-12HcP; 4-2-5-2
1S--2C2N,Db,10-12HcP; 3!S or 4-3-3-3
1S--2C2NDb--,3C,ASK distrib
1S--2C2NDb--3C--,3D,5!D
1S--2C2NDb--3C--,3H,5!C
1S--2C2NDb--3C--,3N,4-3-3-3
1S--2C2NDb--3C--,3S,3-2-4-4
1S--2C2NDb--,3N,Signoff
1S--2C2N,--,minimum
1S--2C2N----,2H,5+!H; GF
1S--2C2N----,2N,Balanced; Stop opps. OK
1S--2C2N----,2S,5+!S; GF
1S--2C2N----,3C,5+!C; GF
1S--2C2N----,3D,5+!D; GF
1S--2C2N----,3H,5+!H; GF
1S--2C2N----,3N,Signoff
1S--2C2N----,3S,5+!S; GF
1S--2C2N----,Db,Stop opps. OK
1S--2C2S,2N,Please read chat#10-12HcP; 3!S or 4-3-3-3; incl. stop opps
1S--2C2S2N--,3C,ASK distrib
1S--2C2S2N--3C--,3D,5!D
1S--2C2S2N--3C--,3H,5!C
1S--2C2S2N--3C--,3N,4-3-3-3
1S--2C2S2N--3C--,3S,3-2-4-4
1S--2C2S2N--,3N,Signoff
1S--2C2S,3C,10-12HcP; 4!S + 4!C
1S--2C2S3C--,3D,ASK distrib
1S--2C2S3C--3D--,3H,4-2-3-4
1S--2C2S3C--3D--,3S,4-3-2-4
1S--2C2S3C--,3N,Signoff
1S--2C2S3C--,3S,Signoff
1S--2C2S3C--,4S,Signoff
1S--2C2S,3D,10-12HcP; 4!S + 4!D
1S--2C2S3D--,3H,ASK distrib
1S--2C2S3D--3H--,3N,4-3-4-2
1S--2C2S3D--3H--,3S,4-2-4-3
1S--2C2S3D--,3N,Signoff
1S--2C2S3D--,3S,Signoff
1S--2C2S3D--,4S,Signoff
1S--2C2S,3H,10-12HcP; 4-2-2-5
1S--2C2S,3S,10-12HcP; 4-2-5-2
1S--2C2S,Db,MAXIMUM; 3!S
1S--2C2S,--,minimum
1S--2C2S----,2H,5+!H; GF
1S--2C2S----,2N,Balanced; Stop opps. OK
1S--2C2S----,2S,5+!S; GF
1S--2C2S----,3C,5+!C; GF
1S--2C2S----,3D,5+!D; GF
1S--2C2S----,3H,5+!H; GF
1S--2C2S----,Db,Stop opps. OK
1S--2C3C,3D,10-12HcP; 4!S + 4!D
1S--2C3C3D--,3H,ASK distrib
1S--2C3C3D--3H--,3N,4-3-4-2
1S--2C3C3D--3H--,3S,4-2-4-3
1S--2C3C3D--,3N,Signoff
1S--2C3C3D--,3S,Signoff
1S--2C3C3D--,4S,Signoff
1S--2C3C,3H,MAXIMUM; 4!S + Stop
1S--2C3C,3S,MAXIMUM; 4!S; No stop
1S--2C3C,Db,MAXIMUM; 3!S
1S--2C3C,--,minimum
1S--2C3C----,2H,5+!H; GF
1S--2C3C----,2N,Balanced; Stop opps. OK
1S--2C3C----,2S,5+!S; GF
1S--2C3C----,3C,5+!C; GF
1S--2C3C----,3D,5+!D; GF
1S--2C3C----,3H,5+!H; GF
1S--2C3C----,3N,Signoff
1S--2C3C----,3S,5+!S; GF
1S--2C3C----,Db,Stop opps. OK
1S--,2C,13+HcP; ANY. Relay
1S--2CDb,2D,8-9HcP; 4!D or 3-2-3-5
1S--2CDb2D--,2H,ASK distrib
1S--2CDb2D--2H--,2N,3!S + 4!D
1S--2CDb2D--2H--2N--,3C,ASK distrib
1S--2CDb2D--2H--2N--3C--,3D,3-2-4-4
1S--2CDb2D--2H--2N--3C--,3H,3-3-4-3
1S--2CDb2D--2H--,2S,4!S + 4-5!D
1S--2CDb2D--2H--2S--,2N,ASK distrib
1S--2CDb2D--2H--2S--2N--,3C,4-2-4-3
1S--2CDb2D--2H--2S--2N--,3D,4-3-4-2
1S--2CDb2D--2H--2S--2N--,3H,4-2-5-2
1S--2CDb2D--2H--,3C,3-2-3-5
1S--2CDb2D--2H--,3D,3!S + 5!D
1S--2CDb2D--2H--3D--,3H,ASK distrib
1S--2CDb2D--2H--3D--3H--,3N,3-3-5-2
1S--2CDb2D--2H--3D--3H--,3S,3-2-5-3
1S--2CDb2D--,2N,Signoff
1S--2CDb2D--,3N,Signoff
1S--2CDb,2H,8-9HcP; 3!H + 2-3!D
1S--2CDb2H--,2N,Signoff
1S--2CDb2H--,2S,Signoff
1S--2CDb2H--,3C,ASK distrib
1S--2CDb2H--3C--,3D,3-3-2-5
1S--2CDb2H--3C--,3H,3-3-3-4
1S--2CDb2H--3C--,3N,4-3-3-3
1S--2CDb2H--3C--,3S,4-3-2-4
1S--2CDb2H--,3N,Signoff
1S--2CDb,2N,10-12HcP; 3!S or 4-3-3-3
1S--2CDb2N--,3C,ASK distrib
1S--2CDb2N--3C--,3D,5!D
1S--2CDb2N--3C--,3H,5!C
1S--2CDb2N--3C--,3N,4-3-3-3
1S--2CDb2N--3C--,3S,3-2-4-4
1S--2CDb2N--,3N,Signoff
1S--2CDb,2S,8-9HcP; 4!S; 4-2-3-4; 4-2-2-5
1S--2CDb2S--,2N,Signoff
1S--2CDb2S--,3C,Signoff
1S--2CDb2S--,3D,ASK distrib
1S--2CDb2S--3D--,3H,4-2-3-4
1S--2CDb2S--3D--,3S,4-2-2-5
1S--2CDb2S--,3N,Signoff
1S--2CDb,3C,10-12HcP; 4!S + 4!C
1S--2CDb3C--,3D,ASK distrib
1S--2CDb3C--3D--,3H,4-2-3-4
1S--2CDb3C--3D--,3S,4-3-2-4
1S--2CDb3C--,3N,Signoff
1S--2CDb3C--,3S,Signoff
1S--2CDb3C--,4S,Signoff
1S--2CDb,3D,10-12HcP; 4!S + 4!D
1S--2CDb3D--,3H,ASK distrib
1S--2CDb3D--3H--,3N,4-3-4-2
1S--2CDb3D--3H--,3S,4-2-4-3
1S--2CDb3D--,3N,Signoff
1S--2CDb3D--,3S,Signoff
1S--2CDb3D--,4S,Signoff
1S--2CDb,3H,10-12HcP; 4-2-2-5
1S--2CDb,3S,10-12HcP; 4-2-5-2
1S--2C--,2D,8-9HcP; 4!D or 3-2-3-5
1S--2C--2D--,2H,ASK distrib
1S--2C--2D--2H--,2N,3!S + 4!D
1S--2C--2D--2H--2N--,3C,ASK distrib
1S--2C--2D--2H--2N--3C--,3D,3-2-4-4
1S--2C--2D--2H--2N--3C--,3H,3-3-4-3
1S--2C--2D--2H--,2S,4!S + 4-5!D
1S--2C--2D--2H--2S--,2N,ASK distrib
1S--2C--2D--2H--2S--2N--,3C,4-2-4-3
1S--2C--2D--2H--2S--2N--,3D,4-3-4-2
1S--2C--2D--2H--2S--2N--,3H,4-2-5-2
1S--2C--2D--2H--,3C,3-2-3-5
1S--2C--2D--2H--,3D,3!S + 5!D
1S--2C--2D--2H--3D--,3H,ASK distrib
1S--2C--2D--2H--3D--3H--,3N,3-3-5-2
1S--2C--2D--2H--3D--3H--,3S,3-2-5-3
1S--2C--2D--,2N,Signoff
1S--2C--2D--,3N,Signoff
1S--2C--,2H,8-9HcP; 3!H + 2-3!D
1S--2C--2H--,2N,Signoff
1S--2C--2H--,2S,Signoff
1S--2C--2H--,3C,ASK distrib
1S--2C--2H--3C--,3D,3-3-2-5
1S--2C--2H--3C--,3H,3-3-3-4
1S--2C--2H--3C--,3N,4-3-3-3
1S--2C--2H--3C--,3S,4-3-2-4
1S--2C--2H--,3N,Signoff
1S--2C--,2N,10-12HcP; 3!S or 4-3-3-3
1S--2C--2N--,3C,ASK distrib
1S--2C--2N--3C--,3D,5!D
1S--2C--2N--3C--,3H,5!C
1S--2C--2N--3C--,3N,4-3-3-3
1S--2C--2N--3C--,3S,3-2-4-4
1S--2C--2N--,3N,Signoff
1S--2C--,2S,8-9HcP; 4!S; 4-2-3-4; 4-2-2-5
1S--2C--2S--,2N,Signoff
1S--2C--2S--,3C,Signoff
1S--2C--2S--,3D,ASK distrib
1S--2C--2S--3D--,3H,4-2-3-4
1S--2C--2S--3D--,3S,4-2-2-5
1S--2C--2S--,3N,Signoff
1S--2C--,3C,10-12HcP; 4!S + 4!C
1S--2C--3C--,3D,ASK distrib
1S--2C--3C--3D--,3H,4-2-3-4
1S--2C--3C--3D--,3S,4-3-2-4
1S--2C--3C--,3N,Signoff
1S--2C--3C--,3S,Signoff
1S--2C--3C--,4S,Signoff
1S--2C--,3D,10-12HcP; 4!S + 4!D
1S--2C--3D--,3H,ASK distrib
1S--2C--3D--3H--,3N,4-3-4-2
1S--2C--3D--3H--,3S,4-2-4-3
1S--2C--3D--,3N,Signoff
1S--2C--3D--,3S,Signoff
1S--2C--3D--,4S,Signoff
1S--2C--,3H,10-12HcP; 4-2-2-5
1S--2C--,3S,10-12HcP; 4-2-5-2
1S--,2D,7-13HcP; 5+!D; 0-3!S
1S--,2H,7-13HcP; 5+!H; 0-3!S
1S--,2N,4!S; 0-1!H; GF
1S--,2S,7-13HcP; 4+!S
1S--,3C,4!S; 0-1!C; GF
1S--,3D,4!S; 0-1!D; GF
1S--,3H,7-12HcP; 6+!H
1S--,3S,7-12HcP; 5+!S
2C2D,2H,5+!H
2C2D,2N,Limit
2C2D,2S,5+!S
2C2D,3C,5+!C
2C2D,3D,GF; ANY
2C2D,3H,5+!H; GF
2C2D,3N,Signoff
2C2D,3S,5+!S; GF
2C2D,4H,Signoff
2C2D,4S,Signoff
2C2D,Db,13+HcP; ANY
2C2DDb--,2N,Lebensohl delay
2C2DDb--,3C,minimum; 2!H + 2!S
2C2DDb--,3D,minimum; 3!H + 3!S
2C2DDb--,3H,minimum; 3!H + 2!S
2C2DDb--,3N,MAXIMUM; 2!H + 2!S
2C2DDb--,3S,minimum; 2!H + 3!S
2C2DDb--,4C,MAXIMUM; 3!H + 3!S
2C2DDb--,4D,MAXIMUM; 3!H + 2!S
2C2DDb--,4H,MAXIMUM; 2!H + 3!S
2C2D,--,Weak or trap
2C2H,2N,Limit
2C2H,2S,5+!S
2C2H,3C,5+!C
2C2H,3D,5+!D
2C2H,3H,GF; ANY
2C2H,3N,Signoff
2C2H,3S,5+!S; GF
2C2H,4S,Signoff
2C2H,Db,13+HcP; ANY
2C2HDb--,2N,Lebensohl delay
2C2HDb--,3C,minimum; 2!H + 2!S
2C2HDb--,3D,minimum; 3!H + 3!S
2C2HDb--,3H,minimum; 3!H + 2!S
2C2HDb--,3N,MAXIMUM; 2!H + 2!S
2C2HDb--,3S,minimum; 2!H + 3!S
2C2HDb--,4C,MAXIMUM; 3!H + 3!S
2C2HDb--,4D,MAXIMUM; 3!H + 2!S
2C2HDb--,4H,MAXIMUM; 2!H + 3!S
2C2H,--,Weak or trap
2C2N,3C,5+!C
2C2N,3D,5+!D
2C2N,3H,5+!H
2C2N,3N,Signoff
2C2N,3S,5+!S
2C2N,4H,Signoff
2C2N,4S,Signoff
2C2N,Db,12+HcP; ANY
2C2NDb--,2N,Lebensohl delay
2C2NDb--,3C,minimum; 2!H + 2!S
2C2NDb--,3D,minimum; 3!H + 3!S
2C2NDb--,3H,minimum; 3!H + 2!S
2C2NDb--,3N,MAXIMUM; 2!H + 2!S
2C2NDb--,3S,minimum; 2!H + 3!S
2C2NDb--,4C,MAXIMUM; 3!H + 3!S
2C2NDb--,4D,MAXIMUM; 3!H + 2!S
2C2NDb--,4H,MAXIMUM; 2!H + 3!S
2C2N,--,Weak or trap
2C2S,2N,Limit
2C2S,3C,5+!C
2C2S,3D,5+!D
2C2S,3H,5+!H
2C2S,3N,Signoff
2C2S,3S,GF; ANY
2C2S,4H,Signoff
2C2S,Db,13+HcP; ANY
2C2SDb--,2N,Lebensohl delay
2C2SDb--,3C,minimum; 2!H + 2!S
2C2SDb--,3D,minimum; 3!H + 3!S
2C2SDb--,3H,minimum; 3!H + 2!S
2C2SDb--,3N,MAXIMUM; 2!H + 2!S
2C2SDb--,3S,minimum; 2!H + 3!S
2C2SDb--,4C,MAXIMUM; 3!H + 3!S
2C2SDb--,4D,MAXIMUM; 3!H + 2!S
2C2SDb--,4H,MAXIMUM; 2!H + 3!S
2C2S,--,Weak or trap
,2C,Please read chat#8-12HcP; 5+!C. No shortage. MAJORs: 3-3; 3-2; 2-2
2CDb,2D,13+HcP; Relay
2CDb2D--,2H,8-9HcP; 5!C; poor
2CDb2D--2H--,2N,Signoff
2CDb2D--2H--,2S,ASK distrib
2CDb2D--2H--2S--,2N,3-3-2-5
2CDb2D--2H--2S--,3C,3-2-3-5
2CDb2D--2H--2S--,3D,2-3-3-5
2CDb2D--2H--2S--,3H,2-2-4-5
2CDb2D--2H--,3C,Signoff
2CDb2D--2H--,3N,Signoff
2CDb2D--,2N,10-12HcP; 5!C; 5332 distribution
2CDb2D--2N--,3C,2 where?
2CDb2D--2N--3C--,3D,3-3-2-5
2CDb2D--2N--3C--,3H,3-2-3-5
2CDb2D--2N--3C--,3S,2-3-3-5
2CDb2D--2N--,3N,Signoff
2CDb2D--2N--,--,To play
2CDb2D--,2S,8-9HcP; 5!C; good
2CDb2D--2S--,2N,Signoff
2CDb2D--2S--,3C,Signoff
2CDb2D--2S--,3D,ASK distrib
2CDb2D--2S--3D--,3H,3-3-2-5
2CDb2D--2S--3D--,3N,2-3-3-5
2CDb2D--2S--3D--,3S,3-2-3-5
2CDb2D--2S--3D--,4C,2-2-4-5
2CDb2D--2S--,3N,Signoff
2CDb2D--,3C,8-9HcP; 6+!C
2CDb2D--3C--,3D,ASK distrib
2CDb2D--3C--3D--,3H,2-2-3-6
2CDb2D--3C--3D--,3N,3-2-2-6; 2-2-2-7
2CDb2D--3C--3D--,3S,2-3-2-6
2CDb2D--3C--,3N,Signoff
2CDb2D--3C--,--,To play
2CDb2D--,3D,10-12HcP; 2-2-4-5
2CDb2D--,3H,10-12HcP; 2-2-4-5
2CDb2D--,3N,10-12HcP; 2-2-3-6
2CDb2D--,3S,10-12HcP; 3-2-2-6
2CDb,2H,7-13HcP; 5+!H
2CDb,2N,12-14HcP; Invite
2CDb,2S,7-13HcP; 5+!S
2CDb,3C,7-12HcP; 3+!C; Invite
2CDb,3D,7-12HcP; 6+!D
2CDb,3H,7-12HcP; 6+!H
2CDb,3S,7-12HcP; 6+!S
2CDb,--,To play
2CDb,Rd,SOS Takeout
2C--,2D,13+HcP; Relay
2C--2D--,2H,8-9HcP; 5!C; poor
2C--2D--2H--,2N,Signoff
2C--2D--2H--,2S,ASK distrib
2C--2D--2H--2S--,2N,3-3-2-5
2C--2D--2H--2S--,3C,3-2-3-5
2C--2D--2H--2S--,3D,2-3-3-5
2C--2D--2H--2S--,3H,2-2-4-5
2C--2D--2H--,3C,Signoff
2C--2D--2H--,3N,Signoff
2C--2D--,2N,10-12HcP; 5!C; 5332 distribution
2C--2D--2N--,3C,2 where?
2C--2D--2N--3C--,3D,3-3-2-5
2C--2D--2N--3C--,3H,3-2-3-5
2C--2D--2N--3C--,3S,2-3-3-5
2C--2D--2N--,3N,Signoff
2C--2D--2N--,--,To play
2C--2D--,2S,8-9HcP; 5!C; good
2C--2D--2S--,2N,Signoff
2C--2D--2S--,3C,Signoff
2C--2D--2S--,3D,ASK distrib
2C--2D--2S--3D--,3H,3-3-2-5
2C--2D--2S--3D--,3N,2-3-3-5
2C--2D--2S--3D--,3S,3-2-3-5
2C--2D--2S--3D--,4C,2-2-4-5
2C--2D--2S--,3N,Signoff
2C--2D--,3C,8-9HcP; 6+!C
2C--2D--3C--,3D,ASK distrib
2C--2D--3C--3D--,3H,2-2-3-6
2C--2D--3C--3D--,3N,3-2-2-6; 2-2-2-7
2C--2D--3C--3D--,3S,2-3-2-6
2C--2D--3C--,3N,Signoff
2C--2D--3C--,--,To play
2C--2D--,3D,10-12HcP; 2-2-4-5
2C--2D--,3H,10-12HcP; 2-2-4-5
2C--2D--,3N,10-12HcP; 2-2-3-6
2C--2D--,3S,10-12HcP; 3-2-2-6
2C--,2H,7-13HcP; 5+!H
2C--,2N,12-14HcP; Invite
2C--,2S,7-13HcP; 5+!S
2C--,3C,7-12HcP; 3+!C; Invite
2C--,3D,7-12HcP; 6+!D
2C--,3H,7-13HcP; 6+!H
2C--,3S,7-13HcP; 6+!S
2D2H,2N,Limit
2D2H,2S,5+!S
2D2H,3C,5+!C
2D2H,3D,5+!D
2D2H,3H,GF; ANY
